"日期","最新","开盘","高","低","交易量","百分比变化"
"2014年5月19日","7,151.49","7,210.85","7,210.85","7,105.02","6.88K","-1.25"
"2014年5月16日","7,242.17","7,203.82","7,261.35","7,187.80","8.01K","0.39"
"2014年5月15日","7,213.77","7,309.88","7,309.88","7,205.70","7.69K","-1.53"
"2014年5月14日","7,325.52","7,320.36","7,369.17","7,303.63","10.10K","0.21"
"2014年5月13日","7,310.31","7,321.65","7,362.87","7,290.73","10.87K","-0.11"
"2014年5月12日","7,318.14","7,208.04","7,334.47","7,175.22","14.04K","2.17"
"2014年5月9日","7,162.44","7,175.24","7,182.42","7,093.22","8.53K","-0.11"
"2014年5月8日","7,169.98","7,185.19","7,306.79","7,157.26","8.01K","-0.89"
"2014年5月7日","7,234.69","7,292.01","7,292.01","7,232.48","8.29K","-1.06"
"2014年5月6日","7,311.89","7,282.92","7,381.22","7,282.92","9.40K","0.03"
"2014年5月5日","7,309.56","7,289.24","7,334.39","7,214.06","6.61K","-0.05"
"2014年4月30日","7,312.86","7,320.79","7,335.47","7,279.34","6.16K","-0.37"
